image_id,filename,sequence_id,species_code,split,num_objects
1,pg1_10_img001.jpg,pg1_10,pg,train,10
2,pg1_10_img002.jpg,pg1_10,pg,train,10
3,pg1_10_img003.jpg,pg1_10,pg,train,10
4,pg1_10_img004.jpg,pg1_10,pg,train,10
5,pg1_10_img005.jpg,pg1_10,pg,train,10
6,pg1_10_img006.jpg,pg1_10,pg,train,10
7,pg1_10_img007.jpg,pg1_10,pg,train,10
8,pg1_10_img008.jpg,pg1_10,pg,train,10
9,pg1_10_img009.jpg,pg1_10,pg,train,10
10,pg1_10_img010.jpg,pg1_10,pg,train,10
11,pg1_10_img011.jpg,pg1_10,pg,train,10
12,pg1_10_img012.jpg,pg1_10,pg,train,10
13,pg1_10_img013.jpg,pg1_10,pg,train,10
14,pg1_10_img014.jpg,pg1_10,pg,train,10
15,pg1_10_img015.jpg,pg1_10,pg,train,10
16,pg1_10_img016.jpg,pg1_10,pg,train,10
17,pg1_10_img017.jpg,pg1_10,pg,train,10
18,pg1_10_img018.jpg,pg1_10,pg,train,10
19,pg1_10_img019.jpg,pg1_10,pg,train,10
20,pg1_10_img020.jpg,pg1_10,pg,train,10
21,pg1_10_img021.jpg,pg1_10,pg,train,10
22,pg1_10_img022.jpg,pg1_10,pg,train,10
23,pg1_10_img023.jpg,pg1_10,pg,train,10
24,pg1_10_img024.jpg,pg1_10,pg,train,10
25,pg1_10_img025.jpg,pg1_10,pg,train,10
26,pg1_10_img026.jpg,pg1_10,pg,train,10
27,pg1_10_img027.jpg,pg1_10,pg,train,10
28,pg1_10_img028.jpg,pg1_10,pg,train,10
29,pg1_10_img029.jpg,pg1_10,pg,train,10
30,pg1_10_img030.jpg,pg1_10,pg,train,10
31,pg1_10_img031.jpg,pg1_10,pg,train,10
32,pg1_10_img032.jpg,pg1_10,pg,train,10
33,pg1_10_img033.jpg,pg1_10,pg,train,10
34,pg1_10_img034.jpg,pg1_10,pg,train,10
35,pg1_10_img035.jpg,pg1_10,pg,train,10
36,pg1_10_img036.jpg,pg1_10,pg,train,10
37,pg1_10_img037.jpg,pg1_10,pg,train,10
38,pg1_10_img038.jpg,pg1_10,pg,train,10
39,pg1_10_img039.jpg,pg1_10,pg,train,10
40,pg1_10_img040.jpg,pg1_10,pg,train,10
41,pg1_10_img041.jpg,pg1_10,pg,train,10
42,pg1_10_img042.jpg,pg1_10,pg,train,10
43,pg1_10_img043.jpg,pg1_10,pg,train,10
44,pg1_10_img044.jpg,pg1_10,pg,train,10
45,pg1_10_img045.jpg,pg1_10,pg,train,10
46,pg1_10_img046.jpg,pg1_10,pg,train,10
47,pg1_10_img047.jpg,pg1_10,pg,train,10
48,pg1_10_img048.jpg,pg1_10,pg,train,10
49,pg1_10_img049.jpg,pg1_10,pg,train,10
50,pg1_10_img050.jpg,pg1_10,pg,train,10
51,pg1_10_img051.jpg,pg1_10,pg,train,10
52,pg1_10_img052.jpg,pg1_10,pg,train,10
53,pg1_10_img053.jpg,pg1_10,pg,train,10
54,pg1_10_img054.jpg,pg1_10,pg,train,10
55,pg1_10_img055.jpg,pg1_10,pg,train,10
56,pg1_10_img056.jpg,pg1_10,pg,train,10
57,pg1_10_img057.jpg,pg1_10,pg,train,10
58,pg1_10_img058.jpg,pg1_10,pg,train,10
59,pg1_10_img059.jpg,pg1_10,pg,train,10
60,pg1_10_img060.jpg,pg1_10,pg,train,10
61,pg1_10_img061.jpg,pg1_10,pg,train,10
62,pg1_10_img062.jpg,pg1_10,pg,train,10
63,pg1_10_img063.jpg,pg1_10,pg,train,10
64,pg1_10_img064.jpg,pg1_10,pg,train,10
65,pg1_10_img065.jpg,pg1_10,pg,train,10
66,pg1_10_img066.jpg,pg1_10,pg,train,10
67,pg1_10_img067.jpg,pg1_10,pg,train,10
68,pg1_10_img068.jpg,pg1_10,pg,train,10
