epoch,lr,elapsed_min,train_loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,val_map,val_map_50,val_map_75,val_evaluated_images
1,0.005,6.647061053911845,0.5851087826745208,0.26239823594327144,0.2692829980159745,0.03490772403929654,0.01851982420251048,0.5786316394805908,0.7997747659683228,0.7007225155830383,2312
2,0.005,6.6046612620353695,0.3577600753142468,0.16873367313117613,0.17527777638539285,0.004646282595898862,0.009102342899713886,0.6550518274307251,0.8691444396972656,0.7875522375106812,2312
3,0.005,6.531885584195455,0.3021769904455815,0.14044070966410616,0.1512600303832863,0.0030135745474159613,0.007462675718720206,0.6658949851989746,0.8782854080200195,0.8082306981086731,2312
4,0.005,6.523232650756836,0.2676007580027696,0.12087501283213559,0.13790398117307845,0.0023316753495549775,0.006490088761171321,0.6758163571357727,0.8861267566680908,0.8209949135780334,2312
5,0.005,6.520696107546488,0.24523497594571972,0.10766891541220217,0.1296272963560237,0.0020147750357059372,0.00592398903159345,0.6610061526298523,0.8616988062858582,0.8041630387306213,2312
6,0.005,6.506478933493296,0.22457252946203732,0.09687862517148231,0.12063753915902255,0.001729102110253469,0.005327263562444344,0.6907275915145874,0.8898991346359253,0.8342588543891907,2312
7,0.005,6.551025211811066,0.20896128539467498,0.08856869628848094,0.11396991177981178,0.0015072312944554838,0.004915446081071505,0.6455461382865906,0.8474916219711304,0.7841418385505676,2312
8,0.0005,6.498731275399526,0.194895984366074,0.081974698269657,0.10707361725130105,0.0013602998478898047,0.004487369093990885,0.6809902787208557,0.8818288445472717,0.8263150453567505,2312
9,0.0005,6.49849052031835,0.15652495108650996,0.06193435580562566,0.08996378455845029,0.001032238375948924,0.0035945721218879245,0.6826024055480957,0.874916672706604,0.8266645073890686,2312
10,0.0005,6.523036535580953,0.14703368755917737,0.05680151407396903,0.08587972798883566,0.0009292149400143465,0.0034232307032253423,0.6762301325798035,0.86418616771698,0.811271607875824,2312
11,0.0005,6.488778567314148,0.14172173757964787,0.05365377365730934,0.08382257666167149,0.0008959071822315166,0.0033494803570687133,0.6645151972770691,0.8525933623313904,0.7997180223464966,2312
12,0.0005,6.487092542648315,0.13854280398332663,0.05223550739770713,0.08217349481103006,0.0008470126685716855,0.0032867890421015406,0.6826257109642029,0.8678550720214844,0.8174960017204285,2312
13,0.0005,6.506223408381144,0.13536509667263247,0.05059175955542275,0.08069249288759008,0.0008293958482120677,0.00325144850570874,0.6713355779647827,0.8542135953903198,0.8049197196960449,2312
14,0.0005,6.512539307276408,0.1326228700834268,0.0492753090738176,0.07933537841267878,0.0008081778542604395,0.003204005078138582,0.6693501472473145,0.8554841876029968,0.8075885772705078,2312
15,0.0005,6.508701956272125,0.13066339169294017,0.048416232307693687,0.07830071063635735,0.0007955033456599683,0.0031509452868504362,0.6670258641242981,0.8521208167076111,0.8014011383056641,2312
16,5e-05,6.490417842070261,0.127828221533944,0.047087284735554624,0.07683920835309536,0.0007993441853620157,0.0031023841884653867,0.6602502465248108,0.8439759612083435,0.7924935221672058,2312
17,5e-05,6.564914107322693,0.12363277835972851,0.04486208061366799,0.07500082597586155,0.0007233582311157647,0.0030465133867577055,0.6682090163230896,0.8509599566459656,0.8025926351547241,2312
18,5e-05,6.6119095166524255,0.12284655090849238,0.04444954984751901,0.07461937274612106,0.0007528679333581361,0.003024760347108723,0.6668780446052551,0.8515812754631042,0.7989060878753662,2312
19,5e-05,6.597314691543579,0.12207302131377042,0.0440705987091636,0.0742024547777202,0.0007798267283154576,0.0030201412476825607,0.665020227432251,0.8473955988883972,0.7976716756820679,2312
20,5e-05,6.639093712965647,0.12171268193340062,0.04376124448087519,0.07422708880159401,0.000712648436462929,0.0030117003324817105,0.6664614081382751,0.8483014702796936,0.798420250415802,2312
21,5e-05,6.526476267973582,0.12098610020817975,0.04340273140455781,0.07385809466629996,0.0007261981596733164,0.0029990762957720725,0.6663294434547424,0.8480708003044128,0.7979837656021118,2312
22,5e-05,6.517260305086771,0.12066936862014066,0.043199981501121434,0.07374369728083083,0.0007339887633221126,0.0029917008924428357,0.6644455194473267,0.8436259031295776,0.7983890771865845,2312
23,5e-05,6.534080870946249,0.12019174504784706,0.04282268359070552,0.07363331259196282,0.000748340032833932,0.0029874087407152977,0.6640947461128235,0.8442695140838623,0.7990731000900269,2312
24,5e-06,6.523012510935465,0.12016294210874424,0.042919105335707836,0.07350993496799109,0.0007450468932869411,0.002988855041932761,0.6613674163818359,0.8416451215744019,0.7935774922370911,2312
25,5e-06,6.522736465930938,0.1196322576622951,0.042621923282692535,0.07330859606431396,0.0007253479118959668,0.002976390301294419,0.6668210625648499,0.8484603762626648,0.8033971190452576,2312
