epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,0.5543971546991325,0.6909750116274154,0.6862505359644882,0.4865563290389348,0.7405859581207109,0.7133501227504943
2,0.4777520493553091,0.7523096274998943,0.748668084672089,0.49871960457741493,0.7102762625373922,0.7071626368063961
3,0.4553500137935556,0.7694230687920173,0.7666817554473835,0.41408624119182175,0.7833450642266409,0.7820099659335165
4,0.433471765537241,0.7830694262399053,0.7804489544214026,0.3899840667854307,0.8067042055252508,0.8005851453669737
5,0.4164300256640174,0.7948871083675109,0.7925813646009401,0.4075850427082553,0.8050325532289284,0.7919516191574771
6,0.4060528202543984,0.8032165658957338,0.8012355974830379,0.36762422830791996,0.8300633468238606,0.8262097392567882
7,0.39279405334112655,0.811524882668809,0.8096299861277114,0.3779590763158201,0.8171740278022172,0.8153942809352785
8,0.3813472169520996,0.8198067734979494,0.8179276201391952,0.36074373006595184,0.8371458736582791,0.8357735425234494
9,0.37107120604072735,0.8257420405056869,0.8240675476229409,0.34599190220215803,0.843524546894246,0.8409121284218001
10,0.36368246140941135,0.830403577015771,0.8286754126695796,0.3411243568077361,0.8520147809255675,0.8494377312875507
11,0.3569360034525568,0.8346898651219822,0.833036213830607,0.332937239225316,0.8567657927151152,0.8545719590993636
12,0.350941712374511,0.8390765718151453,0.8375151216284835,0.32890498414884756,0.8557100123174379,0.852332305548253
13,0.34643135814857073,0.8415236142235001,0.8400236700734649,0.3309368736079655,0.8552701038184057,0.8532208244587688
14,0.34268360674787,0.8435319859625385,0.8420715398719161,0.3229143051009415,0.8583494633116312,0.8555690565800477
15,0.34178035269503937,0.8446048792862881,0.8431134408616561,0.32392589412872147,0.859317262009502,0.8567964458366123
